id|address|Location
2|Allerton/Pelham Gardens,Bronx, New York|40.8654218,-73.8545318
14|Bay Terrace/Fort Totten,Queens, New York|40.7920939,-73.7786745
20|Bensonhurst East,Brooklyn, New York|40.6146916,-74.0129784
21|Bensonhurst West,Brooklyn, New York|40.6146916,-74.0129784
22|Bloomfield/Emerson Hill,Staten Island, New York|40.6151637,-74.2592761
26|Breezy Point/Fort Tilden/Riis Beach,Queens, New York|40.557619, -73.919391
35|Bushwick North,Brooklyn, New York|40.697183, -73.919266
40|Central Harlem,Manhattan, New York|40.814731, -73.943607
41|Central Harlem North,Manhattan, New York| 40.814472, -73.943693
46|Claremont/Bathgate,Bronx, New York|40.845263, -73.898542
60|Crown Heights North,Brooklyn, New York|40.673008, -73.941916
61|Crown Heights South,Brooklyn, New York|40.672104, -73.939842
65|DUMBO/Vinegar Hill,Brooklyn, New York|40.703391, -73.988410
64|Downtown Brooklyn/MetroTech,Brooklyn, New York|40.6929691,-73.9861814
70|East Flatbush/Farragut,Brooklyn, New York|40.638511,-73.9285267
71|East Flatbush/Remsen Village,Brooklyn, New York|40.652682, -73.920015
74|East Harlem South,Manhattan, New York|40.707438, -74.001052
86|Financial District North,Manhattan, New York|40.708489, -74.009994
95|Forest Park/Highland Park,Queens, New York|40.695956, -73.865754
102|Governor's Island/Ellis Island/Liberty Island,Manhattan, New York|40.688894, -74.018861
103|Governor's Island/Ellis Island/Liberty Island,Manhattan, New York|40.688765, -74.018280
104|Governor's Island/Ellis Island/Liberty Island,Manhattan, New York|40.688894, -74.018861
116|Hammels/Arverne,Queens, New York|40.588244, -73.808895
143|Little Italy/NoLiTa,Manhattan, New York|40.718985, -73.998112
153|Marine Park/Floyd Bennett Field,Brooklyn, New York|40.590985, -73.890598
158|Melrose South,Bronx, New York|40.820597, -73.917670
172|North Corona,Queens, New York|40.754667, -73.866387 
178|Old Astoria,Queens, New York|40.772696, -73.919561
199|Riverdale/North Riverdale/Fieldston,Bronx, New York|40.907691, -73.904151
206|Saint Michaels Cemetery/Woodside,Queens, New York|40.764692, -73.898772
211|Soundview/Bruckner,Bronx, New York|40.823936, -73.877159
218|Springfield Gardens South,Queens, New York|40.663918, -73.768604
226|Sunset Park East,Brooklyn, New York|40.648462, -74.011024
228|Sutton Place/Turtle Bay North,Manhattan, New York|40.758058, -73.960972
232|UN/Turtle Bay South,Manhattan, New York|40.754998, -73.968574
236|Upper East Side South,Manhattan, New York|40.773843, -73.954215
238|Upper West Side South,Manhattan, New York|40.788110, -73.976186
240|Van Cortlandt Village,Bronx, New York|40.883755, -73.893788
242|Washington Heights North,Manhattan, New York|40.852444, -73.934353
249|Westchester Village/Unionport,Bronx, New York|40.836062, -73.848419
254|Williamsburg (North Side),Brooklyn, New York|40.710317, -73.953394
27|Briarwood/Jamaica Hills,Queens, New York|40.710185, -73.816565
35|Bushwick North,Brooklyn, New York|40.700372, -73.921240 
41|Central Harlem North,Manhattan, New York|40.814462, -73.943668
43|Charleston/Tottenville,Staten Island, New York|40.532553, -74.236057
61|Crown Heights South,Brooklyn, New York|40.672104, -73.939070
65|DUMBO/Vinegar Hill,Brooklyn, New York|40.702598, -73.985323
71|East Flatbush/Remsen Village,Brooklyn, New York|40.652290, -73.920230
73|East Harlem North,Manhattan, New York|40.796660, -73.938473
83|Eltingville/Annadale/Prince's Bay,Staten Island, New York|40.534062, -74.169320
93|Fordham South,Bronx, New York|40.863614, -73.893148
95|Forest Park/Highland Park,Queens, New York|40.698716, -73.848908
103|Governor's Island/Ellis Island/Liberty Island,Manhattan, New York|40.690978, -74.020369
117|Heartland Village/Todt Hill,Staten Island, New York|40.587830, -74.155986
145|Long Island City/Queens Plaza,Queens, New York|40.750953, -73.939723
153|Marine Park/Floyd Bennett Field,Brooklyn, New York|40.591001, -73.890319
177|Ocean Parkway South,Brooklyn, New York|40.612752, -73.968565
185|Penn Station/Madison Sq West,Manhattan, New York|40.750042, -73.991652
199|Riverdale/North Riverdale/Fieldston,Bronx, New York|40.909767, -73.903207
211|Soundview/Bruckner,Bronx, New York|40.823505, -73.876847
217|Springfield Gardens North,Queens, New York|40.664038, -73.768528
223|Stuy Town/Peter Cooper Village,Manhattan, New York|40.731808, -73.977759
227|Sunset Park West,Brooklyn, New York|40.647862, -74.003852
231|Two Bridges/Seward Park,Manhattan, New York|40.714816, -73.989376
235|Upper East Side North,Manhattan, New York|40.772348, -73.956361
237|Upper West Side North,Manhattan, New York|40.781824, -73.98416
243|Washington Heights South,Manhattan, New York|40.853142, -73.960543
249|Westchester Village/Unionport,Bronx, New York|40.835407, -73.847046
253|Williamsbridge/Olinville,Bronx, New York: 40 .881118, -73.867322
255|Williamsburg (South Side),Brooklyn, New York|40.705255, -73.957305
